喜,기쁘다|즐겁다|좋아하다
揮,휘두르다|뿌리다|나타내다
厚,두텁다|두께
候,철|염탐|살피다
灰,재|재로 만들다|재가 되다
況,하물며|이에|비유하다
環,환옥|물러나다
歡,기뻐하다|기쁘게 하다|기쁨
華,빛나다|꽃|빛
紅,붉다|길쌈하다|검붉다
混,섞다|오랑캐 이름
婚,혼인하다|아내의 친정|장인
或,혹|나라
刑,형벌|형벌을 주다|죽이다
顯,나타나다|영달하다|나타내다
革,가죽|엄하다
險,험하다|고생하다|낭떠러지
憲,법|가르침|상관
核,씨|사물의 중심|씨가 있는 과일
抗,막다|돕다|들다
閑,한가하다|막다|문지방
恨,한하다|뉘우치다|한
避,피하다|떠나다|벗어나다
疲,피곤하다|앓다
標,우듬지|높은 가지|끝
爆,터지다|불 사르다|말리다
胞,태보|숙수|여드름
閉,닫다|막다
評,꼲다|품평|문체의 한 가지
篇,책|완결된 시문|시문을 세는 단위
判,뻐개다|판가름하다|나누다
派,물갈래|갈라지다|가르다
鬪,싸움|싸우게 하다|전쟁
投,던지다|머무르다
痛,아프다|괴롭히다|괴로움
討,치다|없애다|다스리다
擇,가리다
探,찾다|엿보다|잡다
脫,벗다|기뻐하다|허물을 벗다
歎,탄식하다|노래하다|기리다
彈,탄환|튀기다
稱,일컫다|저울
針,바늘|바느질하다
寢,잠자다|앓아 눕다|쉬다
層,층|겹치다|계급
趣,달리다|재촉하다|벼슬 이름
就,이루다|좇다|나가다
縮,오그라들다|오그라뜨리다|다스리다
推,옮다|밀다
招,부르다|들다|악곡 이름
聽,듣다|허락하다
廳,관청|대청
泉,샘|돈|저승
冊,册과 同字
採,캐다|가리다|나뭇군
讚,기리다|밝히다|적다
差,어긋나다|층지다|부리다
陣,진치다|줄|방비
盡,다하다|진력하다
珍,보배|진귀하다|맛좋은 음식
織,짜다|무늬 비단
誌,기록하다|표|기록
智,슬기|슬기롭다|꾀
持,가지다|보전하다|지키다
證,증거|증명하다|법칙
酒,술|물|주연
朱,붉다|붉은 빛깔을 띤 물건|적토
周,두루|둘레|돌다
座,자리|깔개|지위
鍾,술병|모이다|거듭하다
從,좇다|시중들다|높고 큰 모양
存,있다|보존하다|문안하다
組,끈|땅 이름
潮,조수|흘러들다|조수가 밀다
條,가지|씻다
帝,임금|하느님|오제의 약칭
靜,고요하다|맑다|단청이 정밀하다
整,가지런하다|가지런히 하다
丁,넷째 천간|소리의 형용
點,점|글자를 지우다|세다
占,점치다|차지하다|지키다
折,꺾다|편안한 모양
錢,돈|가래|안주
轉,구르다|돌리다
專,오로지|둥글다
適,가다|원수|다만
賊,도둑|해치다|죽이다
績,잣다|잇다|일
籍,문서|온화하다
積,쌓다|저축
底,밑|이르다
裝,꾸미다|행장
腸,창자|마음
張,베풀다|큰체하다
帳,휘장|천막|군막
壯,씩씩하다|성
雜,섞이다|섞다|만나다
殘,해치다|상해|잔인하다
資,재물|방종하다
姿,맵시|모양내다
姉,姊의 俗字
仁,어질다|어진 이|사람
異,다르다|달리하다|의심하다
疑,의심하다|정하다|서다
儀,거동|법|우주의 대본
依,의지하다|병풍
隱,숨다|기대다
遺,남기다|보내다|따르다
遊,놀다|놀이|협기
儒,선비|유교|교양 있는 사람
乳,젖|젖 먹이다|낳다
慰,위로하다|위로|우울해지다
威,위엄|세력|두려워하다
委,맡기다|옹용하다
圍,둘레|에워싸다|사냥하다
危,위태하다|위태롭게 하다|위태롭게도
源,근원|물이 끊이지 않고 흐르는 모양
援,당기다|돕다|발호하다
怨,원망하다|원수
郵,역참|역체|오막살이
遇,만나다|땅 이름
優,부드럽다|넉넉하다|뛰어나다
豫,미리|펴다
迎,맞다|마중하다
營,경영하다|변명하다
映,비치다|희미하다
鉛,납|분|따르다
緣,가선|연줄|연의
燃,사르다
延,끌다|덮개|상통하다
易,바꾸다|쉽다
域,지경|나라|경계짓다
與,주다|참여하다|어조사
嚴,엄하다|삼가다|경계하다
樣,모양|상수리나무
額,이마|머릿수|편액
氏,씨|나라 이름
崇,높다|높이다|존중하다
肅,엄숙하다|공경하다
叔,아재비|어리다|끝
秀,빼어나다|꽃이 피다|꽃
頌,기리다|얼굴
松,솔
損,덜다|줄다|잃다
屬,붙다|무리
舌,혀|말|혀 모양
宣,베풀다|펴다|임금이 말하다
象,코끼리|상아|모양
傷,다치다|상처|해치다
散,흩다|비틀거리다
辭,말씀|하소연하다|말하다
絲,실|명주실|명주
私,사사|사사로이하다|은밀하다
射,쏘다|맞히다|벼슬 이름
碑,비석|돌기둥|문체 이름
批,치다|비파|때리다
粉,가루|가루로 빻다|분바르다
憤,결내다|분|번민하다
負,지다|씌우다|업다
否,부정하다|막히다
複,겹옷|겹쳐지다
伏,엎드리다|기다|알을 품다
普,두루|보통|프러시아
辯,말을 잘하다|편녕하다|두루
範,법|본|한계
犯,범하다|죄|죄인
妨,방해하다|손상하다|장애
髮,터럭|초목|길이의 단위
拍,치다|어깨뼈
舞,춤추다|춤|춤추게 하다
妙,묘하다|뛰어나다|젊다
墓,무덤|묘지
模,법|본|무늬
鳴,울다|부르다
勉,힘쓰다|권하다|억지로 하게 하다
妹,누이|소녀|자매
離,떠나다|교룡|이어지는 모양
輪,바퀴|수레|돌다
柳,버들|별자리 이름|모이다
龍,용|얼룩|언덕
烈,세차다|위엄|굽다
慮,생각하다|조사하다
糧,양식|구실|봉록
略,다스리다|둘러보다|빼앗다
覽,보다|전망|받다
卵,알|크다
亂,어지럽다|다스리다|건너다
逃,달아나다|눈을 깜작이다|숨기다
盜,도둑|훔치다|밀통하다
徒,무리|걷다|보병
段,구분|문장이나 말의 단락을 세는 단위|조각
納,들이다|보내다|거두어 들이다
紀,벼리|인도|사북
機,베틀|틀|거짓
寄,부치다|맡기다|기대다
奇,기이하다|홀수
筋,힘줄|힘
勤,부지런하다|일|근심하다
劇,심하다|번거롭다|빠르다
均,고르다|운|따르다
歸,돌아가다|돌려보내다|시집가다
卷,말다|책|굽다
勸,권하다|힘쓰다|나아가다
券,문서|어음쪽|분명히 하다
窮,다하다|궁구하다|끝
屈,굽다|깎다
群,무리|동아리|부류
君,임금|한 영지의 소유자|봉호
構,얽다|맺다|일으키다
鑛,쇳돌
管,피리|집
攻,치다|다스리다|닦다
孔,구멍|매우|크다
骨,뼈|사람의 품격|강직하다
困,곤하다|곤궁하다|가난하다
穀,곡식|양식|착하다
庫,곳집|무기고|서고
孤,외롭다|고아|왕후의 겸칭
鷄,닭 계
階,섬돌|사닥다리|사다리를 놓다
繼,잇다|후계
系,잇다|실마리|핏줄
戒,경계하다|삼가다|훈계
季,끝|어리다|말년
驚,놀라다|놀래다|놀람
鏡,거울|비추다|밝히다
更,다시|고치다
傾,기울다|중정상태에서 어느 한쪽으로 기울다|기울이다
犬,개|하찮은 것의 비유|중국 서방 이민족의 이름
堅,굳다|강하다|좋다
激,부딪쳐 흐르다|보|흘러들다
擊,치다|사람 이름
儉,검소하다|절약하다|넉넉하지 않다
傑,뛰어나다|뛰어난 사람|볏모 따위가 빼어나게 웃자라다
據,의거하다|움키다
拒,막다|방진
巨,크다|많다|거칠다
居,있다|어조사
降,항복하다|내리다
甲,갑옷|첫째 천간|거북의 등딱지
甘,달다|달게 여기다|맛좋은 것
敢,감히|감당하다|굳세다
簡,대쪽|글|편지
看,보다|방문하다|지키다
干,방패|주사
覺,깨닫다|깨다
刻,새기다|새김|깎다
暇,겨를|느긋하게 지내다
黑,검다|검은빛|검게 되다
患,근심|근심하다|앓다
湖,호수
許,허락하다|이영차
寒,차다|오싹하다|가난하다
河,강 이름|내
敗,패하다|썩다|시들다
板,널빤지|판목|딱다기
炭,숯|재|탄소
卓,높다|탁자
打,치다|공격하다|공을 차다
他,다르다|겹치다
則,곧|법
致,이루다|이르다|극치
祝,빌다|저주하다|약을 바르다
最,가장|모두|최상
初,처음|첫|비로소
鐵,쇠|검다|단단하다
唱,부르다|노래
止,그치다|금하다|붙들다
罪,허물|벌 주다
終,끝나다|끝|마침내
操,잡다|절개
停,머무르다|멈추다|그만두다
赤,붉다|발가숭이|비다
貯,쌓다|두다|우두커니 서다
爭,다투다|다툼|간하다
災,재앙|응징하다|해치다
再,두|거듭하다
因,인하다|말미암다|의지하다
耳,귀|8대 손
位,자리|자리잡다|높여서 어떤 사람을 가리키는 말
願,원하다|부러워하다|소원
院,원집|단단하다|담
原,언덕|근원|찾다
雄,수컷|이기다|우수하다
牛,소|무릅쓰다|별 이름
浴,목욕하다|미역|미역감기다
曜,빛나다|빛|빛내다
完,완전하다|완전하게 하다|단단하다
屋,집|지붕|지붕 모양의 덮개
葉,잎|땅 이름|책
熱,덥다|더워지다|더위
億,억|편안하다|헤아리다
魚,고기|물 속에서 사는 짐승의 총칭|바다 짐승 이름
漁,고기를 잡다|고기잡이|어부
案,책상|앉을 때 몸을 기대는 방석|소반
示,보이다|지신
選,가리다|뽑다|세다
船,배|옷깃
善,착하다|좋게 여기다
序,차례|차례를 매기다|담
賞,상을 주다|기리다|상
査,조사하다|떼|풀명자나무
思,생각하다|생각|수염이 많다
寫,베끼다|부리다
氷,얼음|얼다|오싹하다
鼻,코|구멍|코 꿰다
費,쓰다|비용|재화
比,견주다|돕다|이웃
倍,곱|등지다|더하다
無,없다|허무의 도|무엇
賣,팔다
買,사다
亡,잃다|없다
末,끝|지엽|신하
馬,말|산가지|크다
料,헤아리다|되다|세다
領,옷깃|목|벌
令,하여금|명령
量,헤아리다|되
冷,차다|식히다|맑다
落,떨어지다|죽다|버리다
都,도읍|있다|모이다
島,섬
談,말씀|말하다|농담하다
壇,단|곳|특수 사회
吉,길하다|좋다|음력 초하루
汽,김|거의
期,만나다|정하다|약속하다
技,재주|재능|바르지 않다
給,넉넉하다|더하다|대다
規,법|모범|걸음쇠
貴,귀하다|귀히 여기다|귀하게 되다
救,건지다|고치다|막다
橋,다리|굳세다|빠르다
曲,굽다|굽히다|마음이 바르지 않다
考,상고하다|치다|이루다
固,굳다|굳히다|단단하다
輕,가볍다|조급히 굴다
競,다투다|쫓다|나아가다
景,볕|그림자
建,세우다|엎지르다
健,튼튼하다|어렵게 여기다
件,것|구분하다|건
擧,들다|오르다|움직이다
去,가다|덜다
改,고치다|따로|고쳐지다
可,옳다|오랑캐 임금
加,더하다|살다|베풀다
熟,익다|익히다|생물이 잘 자라게 하다
淑,착하다|맑다|사모하다
需,부드럽다|구하다
隨,따르다|거느리다|몸에 지니다
輸,나르다|경혈
獸,짐승|포
殊,죽이다|끊다|죽다
愁,시름|시름겹다|슬퍼하다
帥,장수|거느리다
壽,목숨|장수|축수하다
垂,드리우다|가|거의
衰,쇠하다|상복|도롱이
鎖,쇠사슬|자물쇠|잠그다
刷,인쇄하다|쓸다|씻다
訟,송사하다|송사|논쟁하다
訴,하소연하다|헐뜯다
蘇,차조기|향하다
疏,트이다|거칠다|적다
燒,사르다|야화
禪,봉선|고요하다
旋,돌다|돌리다|되돌다
釋,풀다|기뻐하다
惜,아끼다|아깝다|가엾이 여기다
署,나누다|부서|관직
緖,실마리|나머지
恕,용서하다|어질다
徐,천천하다|평온하다|다
索,동아줄|찾다|구하다
塞,변방|막다
霜,서리|해|머리털이 셈의 비유
詳,자세하다|속이다
裳,치마|낮에 입는 옷|사물의 형용
桑,뽕나무|뽕잎을 따다|누에를 치다
尙,오히려|더하다|숭상하다
喪,복입다|잃다
償,갚다|보상
像,형상|본뜬 형상|닮다
森,나무가 빽빽하다|우뚝 솟다|무성한 모양
削,깎다|칼집
邪,간사하다|고을 이름|나머지
詞,말|알리다|청하다
蛇,뱀|구불구불 가다
祀,제사|제사지내다|해
沙,모래|봉황|목쉬다
斜,비끼다|땅 이름
司,맡다|벼슬|관아
肥,살찌다|가벼이 여기다
婢,여종|여자의 겸칭|첩
妃,왕비|짝짓다
卑,낮다|하여금
拂,떨다|돕다
紛,어지러워지다|어지러워진 모양|섞이다
奮,떨치다|성을 내다|휘두르다
奔,달리다|향하다|따라가다
附,붙다|알을 까다
賦,구실|부역|공물
腐,썩다|썩이다|부형
簿,장부|발
符,부신|수결|상서
浮,뜨다|물 위에 뜨게 하는 기구|지나치다
扶,돕다|기다
付,주다|붙다|부치다
鳳,봉새
逢,만나다|성하다
峯,峰과 同字
封,봉하다|봉지|북돋우다
覆,뒤집히다|덮다
腹,배|안다|두텁다
譜,족보|계통을 따라 벌여 적다|악보
補,수|깁다|임명하다
丙,남녘|셋째|불
碧,푸른다|푸른 옥돌
凡,무릇|대강|모두
繁,많다|뱃대끈|성
伯,맏|길|우두머리
輩,무리|수레가 늘어섰을 때의 그 한 줄|같은 계열에 넣다
排,밀치다|풀무
培,북돋우다|무덤|타다
芳,꽃답다|향기풀|향기
拔,빼다|빠르다|성하다
飯,밥|밥을 먹다|먹이다
般,돌다|되돌아오다|고을 이름
盤,소반|대야|대
迫,다그치다|궁하다|급하다
薄,엷다|동자기둥|풀 이름
微,작다|적다|숨기다
尾,꼬리|교미하다|별 이름
勿,말다|문지르다
紋,무늬|주름
默,잠잠하다|조용하다|없다
墨,먹|형벌 이름|검다
貿,바꾸다|장사하다|바뀌다
茂,우거지다|가멸다|왕성하다
蒙,입다|어둡다|날리다
夢,꿈|꿈꾸다|어둡다
沒,빠지다|빠져 잠기다|어조사
睦,화목하다|눈매가 온순하다|공손하다
貌,얼굴|본뜨다
謀,꾀하다|꾀
慕,그리워하다|뒤따르다|바라다
銘,새기다|금석에 새긴 글자|명정
滅,멸망하다|멸하다|끄다
綿,솜|이어지다|잇다
眠,자다|쉬다|보다
免,벗어나다|관 벗다
盟,맹세|땅 이름
盲,소경|바라보다
猛,사납다|사나운 개|성내다
孟,맏|맹랑하다
麥,보리|묻다|작다
梅,매화나무|절후 이름|신맛
媒,중매|어두운 모양
妄,망령되다|허망하다|속이다
晩,저물다|늦다|끝
莫,없다|저물다
漠,사막|넓다|조용하다
幕,막
麻,삼|삼실로 만든 옷감이나 옷의 총칭|조칙
磨,갈다|연자매
臨,임하다|곡하다
裏,속|안|다스려지다
履,밟다|신|복
吏,벼슬아치|다스리다|구실아치
陵,큰 언덕|언덕|무덤
隆,크다|두텁다|높다
率,거느리다|우두머리|비율
栗,밤나무|찢다
倫,인륜|무리|차례
累,묶다|포개다|괴롭히다
漏,새다|냄새가 나다
樓,다락|망루|겹치다
雷,우레|돌을 내리 굴리다
賴,힘입다|기댐|이득
弄,희롱하다|놀이|노리개
祿,복|녹봉|녹을 주다
露,이슬|적시다|은혜를 베풀다
爐,화로|위로
靈,신령|신령하다|영혼
嶺,재|산봉우리|연산
裂,찢다|가선 두른 주머니
鍊,불리다|바퀴통 끝의 휘갑쇠
蓮,연밥|고을 이름|범부채의 뿌리
聯,잇닿다|합치다|나란히 하다
戀,생각하다|그리움|사랑하는 이
曆,책력|역법|수
勵,힘쓰다|권면하다
梁,들보|징검다리|다리
郞,사내|낭군|주인
浪,물결|눈물 흘리는 모양
廊,복도|행랑
蘭,난초|목란|병가
欄,난간|우리|울
絡,맥락|헌 솜|누이지 아니한 삼
凍,"얼다|춥다|옥, 돌 등이 아름답고 투명한 모양"
突,갑자기|찌르다|불룩하게 나오다
陶,질그릇|화락하다|달리다
途,길
渡,건너다|건네다|나루터
桃,복숭아나무|복숭아|침대
刀,칼|거룻배|돈의 이름
倒,넘어지다|거꾸로
貸,빌리다|틀리다
臺,대|조정|성문
糖,사탕|엿
唐,당나라|중국|황당하다
踏,밟다|발판|신
淡,묽다|질펀히 흐르다|어렴풋하다
旦,아침|밤을 새우다|밤이 새다
但,다만|한갓|허사
丹,붉다|붉게 하다|정성
茶,차|소녀
泥,진흙|젖다|지체되다
腦,뇌|머리|심
奴,종|자기의 비칭|남을 천시하여 이르는 말
寧,편안하다|문안하다|거상하다
耐,견디다|능하다
娘,아가씨|어미
諾,대답하다|승낙하다|허락하다
緊,굳게 얽다|감다|오그라지다
騎,말 타다|기병
祈,빌다|산제사
畿,경기|지역 이름|서울
其,그|어조사
企,도모하다|발돋움하다|두다
及,미치다|미치게 하다|및
錦,비단|아름답다
禽,날짐승|짐승|사로잡다
琴,거문고 금
克,이기다|능히|승벽
菌,버섯|육계
鬼,귀신|지혜롭다|멀다
拳,주먹|주먹을 쥐다|힘
弓,활|궁술|길이의 단위
菊,국화|대국
拘,잡다|안다
久,오래다|오래 기다리다|늦다
丘,언덕|동산|무덤
較,견주다|수레의 귀
巧,공교하다|예쁘다|기교
怪,기이하다|기이하게 여기다|도깨비
壞,무너지다|땅 이름|앓다
狂,미치다|미치광이|함부로 성내어 덤비다
館,객사|큰 건물|객사에서 묵다
貫,꿰다|당기다
慣,버릇|버릇이 되다
寬,너그럽다|넓다|느슨하다
冠,갓|관례
誇,자랑하다|노래하다
寡,적다|약하다|임금 자신의 겸칭
貢,바치다|공물|천거하다
恭,공손하다|공경하다|직분을 다하다
恐,두렵다|아마
供,"이바지하다|받들어 모시다|국가, 사회를 위하여 힘쓰다"
谷,골|흉노의 임금
哭,울다|곡
鼓,북|북을 치다|맥박
稿,볏짚|화살대|초고
姑,시어미|고모|여자의 통칭
溪,시내|산골짜기|텅 비다
械,형틀|형틀을 채우다|기구
桂,계수나무|월계수|달
契,맺다|애쓰다|종족 이름
啓,열다|열리다|양기가 열리는 계절
頃,밭 넓이|기울다|반 걸음
耕,갈다|농사에 힘쓰다|농사 짓다
硬,굳다|가로막다
徑,지름길|건너다
謙,겸손하다|혐의|족하다
兼,겸하다|다하다|쌓다
訣,이별하다|결정하다
隔,사이가 뜨다|거리|치다
劍,칼|검법|찌르다
乾,마르다|하늘
距,떨어지다|며느리발톱|이르다
蓋,덮다|문짝|땅 이름
槪,평미레|평미레질하다|누르다
介,끼이다|끼우다|중개하다
鋼,강철|강하다
綱,벼리|줄을 치다|통괄하다
剛,굳세다|굳다|강철
鑑,거울|보다|견식
肝,간|정성
懇,정성|간절하다
幹,줄기|우물 난간|주관하다
刊,책을 펴내다|깎다|자르다
閣,문설주|세우다|싣다
脚,다리|걸음걸이|몸둘 곳
架,시렁|횃대|도리
佳,아름답다|좋다|좋아하다