abate,"줄이다, 완화하다, 감소하다","subside, withdraw, drop"
prevalent,"보급된, 널리 행해지는, 유행하는, 유력한","common, widespread, extensive, usual"
prevaricate,"얼버무려 넘기다, 발뺌하다, 거짓말하다","evade, misstate, mislead, lie"
primeval,"초기의, 원시의, 태고의","prehistoric, primitive"
proclaim,"포고하다, 선포하다, 성명하다","announce, broadcast, declare"
prodigal,"낭비하는, 방탕한, 아낌없이 주는","extravagant, profligate, wasteful, lavish"
prodigious,"거대한, 막대한, 비범한, 이상한","abnormal, excessive, monstrous, prodigious, wonderful, amazing"
profane,"모독적인, 불경스런, 이교적인","irreverent, vulgar, secular"
profanity,"신성모독, 불손한 언동","vulgarity, obscenity, swearing"
profligate,"방탕한, 품행이 나쁜, 낭비가 심한","dissipated, extravagant, immoral, prodigal, wild"
profound,"깊은, 밑바닥이 깊은, 뿌리깊은","deep, penetrating"
profuse,"아낌없는, 사치스러운, 풍부한","abundant, copious, excessive, extravagant, lavish"
profusion,"대량, 풍부, 낭비, 사치","abundance, proliferation, extravagance, outpouring"
progressive,"전진하는, 진보의, 누진적","liberal, incremental"
proliferate,"증식하다, 급격히 늘다","increase, multiply, reproduce, spread"
proliferation,증식,"increase, multiplication, reproduction, spread"
prolific,"아이를 낳는, 열매를 맺는, 풍부한","abundant, fruitful, productive"
prolong,"늘이다, 연장하다, 연기하다","extend, lengthen, protract"
propriety,"타당, 적당, 예의바름, 교양","correctness, decency, modesty, rightness"
prosaic,"평범한, 단조로운, 지루한","boring, commonplace, everyday, ordinary, plain, unexceptional"
prose,"산문, 단조로운, 이야기","essay, story"
prosperous,"번영하는, 성공한, 부유한","successful, wealthy"
protrude,불쑥 튀어나오다,"bulge, project, swell"
provincial,"지방의, 시골의, 옹졸한","rural, rustic, unsophisticated, narrow"
provocative,"성나게 하는, 도발적인, 자극적인","irritating, stimulating"
proximity,"근접, 가까움","closeness, nearness"
prudent,"신중한, 세심한, 총명한","careful, cautions, discreet"
prudish,"엄격한, 케케묵은","strict, straight-laced, stuffy"
pushover,"식은 죽 먹기, 약한 상대","breeze, cinch, snap, cakewalk"
quagmire,"곤경, 진구렁","predicament, trap"
qualified,"자격있는, 제한된, 조건부의","able, competent, restricted, conditional"
qualify,"자격을 주다, 제한하다","enable, prepare, limit, modify, restrict"
quandary,"곤혹, 당혹, 곤경","dilemma, impasse, problem, puzzle"
quell,"억누르다, 소멸시키다","subdue, suppress, extinguish"
querulous,"불평을 하는, 성을 잘 내는","discontented, peevish, petulant, testy"
quiescent,"정지한, 무활동의, 침묵의","inactive, motionless, quiet, still"
ramble,두서없이 이야기하다,"digress, stray, wander"
rancor,"깊은 원한, 적의","resentment, bitterness"
rant,"폭언하다, 고함치다","berate, declaim, rave"
ratify,"비준하다, 실증하다","affirm, approve, endorse, validate"
raucous,"무질서하고 소란한, 쉰 목소리의","loud, noisy, rough, unruly"
ravenous,"탐욕스러운, 몹시 굶주린","greedy, voracious"
raze,"지우다, 없애다, 무너뜨리다","demolish, destroy, level"
rebuff,"거절하다, 저지하다","reject, snub, spurn"
rebuttal,"항변, 반증","rejoinder, refutation"
recalcitrant,"반항하는, 다루기 어려운, 고집센","resistant, stubborn"
recant,"바꾸다, 철회/취소하다","disavow, retract, withdraw"
recluse,은둔자,hermit
recount,"자세히 이야기 하다, 하나하나 열거하다","relate, report, tell"
rectify,"개정하다, 교정하다, 고치다","amend, correct, fix, repair"
redundant,"여분의, 과다한, 중복되는","repetitious, superfluous, surplus"
reform,"개혁하다, 교정하다","amend, correct, rectify, repair, restore"
refute,"논박하다, 이의를 제기하다","disprove, rebut"
rejuvenate,"도로 젊어지게 하다, 활기를 띠게 하다","regenerate, revive"
relegate,"추방하다, 지위를 떨어뜨리다, 이관하다","assign, banish, commit, consign"
relevant,"관련된, 적절한","applicable, appropriate, fitting, pertinent, suitable"
relieve,"경감하다, 안도케 하다","alleviate, ease, reduce, release"
remission,"용서, 완화, 진정","lessening, reduction, relaxation"
remorse,"후회, 양심의 가책","compunction, contrition, regret"
remote,"먼, 외딴, 관계가 적은","apart, distant, faraway, unconcerned, uninvolved"
renounce,"포기하다, 단념하다, 부인하다","abandon, disavow, disclaim, disown, repudiate"
repel,"격퇴하다, 반박하다, 저항하다","oppose, rebuff, repulse"
replete,"가득 찬, 충분한","filled, full, packed, stuffed"
repletion,"충만, 포식, 만복","fullness, oversupply, satiation"
reprehensible,"비난할 만한, 괘씸한","blameworthy, culpable"
repress,"억누르다, 진압하다","check, control, suppress"
reprimand (v),"견책하다, 호되게 꾸짖다","censure, rebuke"
reprimand (n),"견책, 징계, 비난, 질책","condemnation, reproof"
reproach (v),"비난하다, 나무라다, 꾸짖다","blame, condemn, criticize, upbraid"
reproach (n),"비난, 질책, 치욕","reproof, rebuke"
reprove,"꾸짖다, 훈계하다","censure, correct, criticize"
repudiate,"거부하다, 부인하다","disavow, reject, renounce"
repugnant,"비위에 거슬리는, 반대의, 모순된","distasteful, disgusting, offensive"
repulse,"격퇴하다, 논박하다","rebuff, repel"
rescind,"폐지하다, 무효로 하다, 취소하다","annul, invalidate, revoke, repeal, retract"
reserve,"떼어두다, 비축하다","hold, keep, store"
reserved,"보류된, 수줍어하는, 말없는","cold, distant, withdraw"
residual,"나머지의, 잔류의","extra, leftover, remaining, surplus"
resignation,"사직, 단념, 묵인, 인내","abdication, acceptance, acquiescence, patience"
resigned,"체념한, 복종하고 있는","acquiescent, submissive"
resolute,"결연한, 단호한","determined, firm, steadfast, unshakeable, unwavering"
resolution,"결심, 확고한 정신, 결의안","determination, fortitude, strength"
resolve (v),"결심하다, 결정하다","decide, determine"
resolve (n),"결심, 결의","commitment, dedication, determination"
resourceful,"꾀바른, 기량이 풍부한","able, adaptable, imaginative, inventive"
respite,"일시적인 중단, 연기, 유예","hiatus, recess, pause, postponement"
resplendent,"반짝반짝 빛나는, 눈부신","dazzling, magnificent, splendid"
responsive,"대답하는, 감응하기 쉬운","receptive, sensitive, understanding, helpful"
restraint,"제지, 속박, 자제","check, curb, stop, limitation, restriction"
retaliation,"보복, 앙갚음","reprisal, punishment"
reticence,"과묵, (입을)조심함","reserve, self-control, silence, taciturnity"
reticent,"과묵한, 삼가는, 억제된","reserved, self-controlled, silent, taciturn"
retract,"끌어넣다, 취소/철회하다","withdraw, deny, disavow"
revelation,"폭로, 누설, 발각","disclosure, divulgence, exposure"
reverent,"경건한, 공손한","devout, pious"
revere,"존경하다, 숭배하다","respect, honor"
revive,"소생하게 하다, 부흥시키다","reactivate, refresh, revitalize"
rhetorical,"수사적인, 화려한, 과장적인",verbal
rigidity,"견고함, 완고함","stiffness, firmness, inflexibility"
rigor,"엄격함, 가옥함","inflexibility, strictness"
rigorous,"엄격한, 혹독한","inflexible, strict, hard, scrupulous, severe"
robust,"튼튼한, 강건한, 난폭한","strong, powerful, healthy, hardy"
rotund,"둥근, 토실토실 살찐","fat, round, plump, portly, stout"
ruffle,"물결을 일으키다, 주름살이 지게하다","aggravate, annoy, bother, disturb, perturb, unsettle"
rupture,"파열, 파괴, 불화","breakage, fracture, rip"
saccharine,"당질의, 달콤한, 감상적인","cloying, sugary, sweet"
sage,"현명한, 경험이 많은","judicious, wise"
salutary,"유익한, 이로운","healthful, salubrious, wholesome"
sanction,"재가, 인가, 제재","approval, permission"
satirical,"풍자적인, 잘 비꼬는","biting, cutting, sardonic, taunting"
saturate,"삼투시키다, 포화시키다","imbue, fill, soak"
savor,맛 보다,"excite, interest, relish, taste, enjoy"
savory,"풍미좋은, 맛좋은, 향기좋은","attractive, delicious, enjoyable, luscious, pleasant"
scale,"비늘을 벗기다, 껍질을 까다","pare, peel, skin, strip"
scanty,"부족한, 얼마 안되는, 불충분한","inadequate, meager, sparse, thin"
scrupulous,"빈틈없는, 면밀한, 양심적인","careful, conscientious, detail-oriented, painstaking"
scrutinize,"자세히 조사하다, 음미하다","analyze, check, examine"
seclusion,"격리, 은퇴, 은둔","solitude, privacy"
sedentary,"앉은 채 있는, 정주하는","stationary, seated, sitting"
serene,"고요한, 침착한, 맑게 갠","calm, compose, peaceful, placid, undisturbed, unruffled"
servile,"노예의, 비굴한, 자주성이 없는","menial, slavish, subservient"
severe,"엄한, 가혹한, 맹렬한","harsh, extreme, intense"
shrine,"성체용기, 성당, 사당",temple
sinister,"불길한, 재난의, 못된","dire, frightening, grim, menacing"
skeptic,"회의론자, 무신론자",doubter
skeptical,"의심 많은, 회의적인","doubting, critical, unbelieving"
slander,"중상, 명예훼손","calumny, defamation"
slight (adj),"약간의, 근소한","insignificant, nominal, trivial"
slight (n),"경멸, 모욕, 냉대",snub
sluggard,"게으름쟁이, 나태자","idler, drone, lazybones (slang)"
sluggish,"게으름, 굼뜬, 부진한","slow, slack, indolent"
sobriety,"절제, 냉엄, 침착","temperance, moderation, solemnity, seriousness"
solemn,"엄숙한, 근엄한","grave, humorless, solemn"
solicit,"간청하다, 구하다","ask, seek, entreat"
solitary,"고독한, 외딴","alone, isolated"
somber,"어두침침한, 칙칙한, 우울한","depressed, gloomy, glum, sad"
soothe,"달래다, 위로하다, 완화시키다","alleviate, ease, relieve"
soporific,"최면성의, 졸린","drowsy, sleepy, sleep-inducing"
spacious,"넓은, 광범위한","big, capacious, roomy, voluminous"
splinter (n),"(나무, 대나무 따위의) 가시, 파편","fragment, shard"
splinter (v),"쪼개지다, 산산조각이 되다","fragment, shatter"
spontaneous,"자발의, 임의의, 자연의","impulsive, involuntary, unbidden, unplanned, sudden"
sporadic,"산발적인, 드물게 발생하는","intermittent, occasional"
spurious,"가짜의, 위조의, 그럴듯한","counterfeit, fake, false, fraudulent, phony"
spurn,"퇴짜 놓다, 경멸하다","refuse, reject"
squander,"낭비하다, 헛되이 쓰다, 탕진하다","misspend, waste"
stagnant,"정체된, 썩은","sluggish, stale, unchanging"
stagnation,"침체, 불황",inactivity
stalemate,"수의 막힘, 교착상태","deadlock, draw, impasse, standoff, standstill"
stanza,(시의) 연,"strophe, verse"
static (adj),정적인,"fixed, stationary, unmoving"
static (n),"공전, 잡음","interference, noise"
steadfast,"확고 부동한, 고정된","faithful, firm, loyal, steady, unwavering"
stilts,"지주, 대말, 죽마","pillars, poles, posts"
stoic,"절제하는, 냉정한",impassive
stolid,"둔감한, 신경이 무딘","impassive, unemotional"
stratagem,"전략, 책략, 모략","plan, ruse, scheme, trick"
stratum,"층, 지층, 계급","layer, level, tier"
strident,"귀에 거슬리는, 삐걱거리는","loud, noisy, raucous, shrill"
stringent,"엄격한, 엄중한, 설득력 있는","inflexible, restrictive, rigid, strict"
strut,"뽐내며 걷다, 과시하다",swagger
stupefy,"마취시키다, 망연케 하다","astonish, astound, overwhelm, stun"
stupor,"무감각, 인사불성","apathy, daze, insensibility"
stymie,"방해하다, 좌절시키다","block, hinder"
subjugate,"정복하다, 복종시키다","conquer, enslave"
submissive,"순종하는, 온순한","compliant, obedient, subservient, tame"
subordinate,"하위의, 아래의","inferior, lower-ranking, secondary"
subside,"침전하다, 꺼지다, 주저앉다","diminish, drop, ebb, lessen, sink, wane"
substantiate,"실증하다, 입증하다","confirm, verify"
subtle,"미묘한, 난해한","delicate, faint, slight"
succinct,"간결한, 간명한","brief, concise, short, terse"
sullen,"무뚝뚝한, 실쭉한","dismal, gloomy, ill-tempered, irritated, morose"
summons,"소환, 호출","call, command, demand, order"
supercilious,"거만한, 거드름 피우는","arrogant, contemptuous, haughty"
superficial,"표면의, 피상적인","apparent, external, obvious, outward, shallow, minor"
superfluity,"여분, 과다","excess, overabundance, superabundance"
superfluous,"남는, 여분의, 불필요한","extra, excess, redundant"
superlative,"최상의, 과도한","best, excellent"
supplant,"밀어내다, 대신 들어앉다","remove, replace, succeed"
suppress,"억압하다, 진압하다","curtail, inhibit, subdue"
surfeit (n),"과다, 과식, 과음","excess, overabundance, oversupply"
surfeit (v),"과식하다, 과음하다","glut, satiate"
surmise,"추측, 짐작","conclusion, deduction, extrapolation, inference"
surpass,"능가하다, 초월하다","exceed, excel, outdo"
surreptitious,"내밀의, 은밀한","concealed, furtive, hidden, secret"
susceptible,"다감한, 민감한, 할 수 있는","vulnerable, weak"
sustain,"떠받치다, 부양하다","bear, hold, support"
swagger,"활보하다, 으스대다",strut
swell,"부풀다, 솟아오르다","expand, grow, inflate"
swindler,사기꾼,crook. Fraud
sycophant,"알랑쇠, 아첨꾼","flatterer, toady"
symbolism,"상징, 부호체계",representation
sympathy,"동정, 동감, 교감","compassion, commiseration"
synchronize,"같은 시간으로 맞추다, 동시에 발생하다","agree, coincide"
synopsis,"개관, 개요","abstract, condensation, summary"
table,연기하다,"defer, delay, postpone, shelve"
taciturn,"말없는, 입이 무거운","reticent, silent"
tailor,"짓다, 손질하다","adapt, adjust, modify"
tangent,"탈선, 여담","aside, digression"
tangential,"규준에서 벗어난, 이탈한","digressive, parenthetical"
tangible,"실체적인, 확실한, 명백한","palpable, real, definite"
tantamount,"동등한, 상당하는","equal, equivalent"
tardy,"느린, 완만한, 더딘","belated, dilatory, late, slack"
tedious,"지루한, 장황한","boring, tiresome"
temper (n),"기질, 기분, 평정","mood, personality, disposition"
temper (v),"진정시키다, 조화시키다","mitigate, moderate, soften"
temperate,"온화한, 절제하는","moderate, restrained"
tenacious,"완강한, 집요한","firm, obstinate, persistent, retentive, stubborn, tight"
tenacity,"고집, 끈기, 집요","firmness, obstinacy, persistence"
tentative,"시험적인, 임시의, 모호한","proposed, provisional, temporary"
terrestrial,"지구상의, 지상의","earthly, mundane, worldly"
terse,"간결한, 간명한","brief, concise"
theoretical,"이론상, 이론적으로","abstract, conjectural, ideal"
threadbare,"초라한, 오래 입은, 낡은","shabby, used, worn"
thrive,"번창하다, 번영하다","boom, burgeon, flourish, prosper"
tightfisted,"인색한, 검소한","parsimonious, stingy, ungenerous"
tirade,"장광설, 격론","diatribe, harangue"
tonic,강장제,"stimulant, pickup"
torpor,"마비, 무감각, 휴면","apathy, inactivity, inertia, lethargy"
torso,"몸통, 미완성 작품",trunk
tragic,"비극의, 비통한","dreadful, melancholy, mournful, sad"
trait,"특색, 특성","attribute, characteristic, property"
tranquil,"조용한, 평온한","calm, peaceful, quiet"
tranquility,"고요함, 평온함","calmness, quiet, serenity"
transcribe,"복사하다, 번역하다, 문자화하다","copy, record, reproduce"
transient,"일시적인, 무상한","brief, evanescent, fleeting, impermanent, short-lived, temporary, transitory"
transplant,"투명한, 명료한","clear, limpid"
treachery,"배반, 반역","betrayal, disloyalty, perfidy"
trepidation,"공포, 전율","agitation, alarm, fear, fright"
trespass,"침해하다, 죄를 짓다","offend, sin, transgress, violate"
trifling,"하찮은, 시시한","insignificant, worthless"
trite,"흔해빠진, 진부한","commonplace, ordinary, overused, stale"
trivial,"하찮은, 사소한","insignificant, unimportant, worthless"
troupe,"일단, 한 패","band, company, group"
truncate,"꼭대기를 자르다, 끊다","abbreviate, cut, shorten"
tumor,"종기, 종양","cancer, cyst"
turbulence,"교란, 소란, 난류","commotion, disorder, instability, unrest"
turbulent,"몹시 거친, 난폭한","disordered, tumultuous, unstable"
turmoil,"소란, 소동, 혼란","agitation, commotion, disorder, disturbance, tumult, unrest"
turpitude,"간악, 비열, 배덕","depravity, vice"
uncouth,"거친, 난폭한, 황량한","discourteous, impolite, rude"
undermine,"토대를 침식하다, 서서히 해치다","injure, undercut, weaken"
uniform,"한결같은, 균일한","alike, homogeneous, identical, regular, same, unvarying"
uniformity,"한결같음, 획일, 단조","homogeneity, regularity, sameness"
unilateral,"일방의, 단독적인",one-sided
unkempt,"난잡한, 세련되지 못한","disheveled, ill-groomed, messy, untidy"
unprecedented,"전례가 없는, 새로운","unique, extraordinary"
unruly,"감당할 수 없는, 제멋대로 구는","disobedient, disorderly"
unsung,"찬미되지 않는, 무명의","obscure, uncelebrated, unknown, unpublicized"
unwarranted,"보증되지 않은, 공인되지 않은","baseless, groundless, unjustified"
uphold,"떠받치다, 들어올리다","defend, support"
uproar,"소란, 소동, 소음","clamor, racket, tumult, turmoil"
usurp,"빼앗다, 찬탈하다","grab, seize, steal, supplant"
utilize,"활용하다, 이용하다","employ, use"
utter (v),"발언하다, 털어놓다","say, speak, voice"
utter (adj),"전적인, 완전한","complete, total"
vacillate,"망설이다, 흔들거리다","fluctuate, hesitate, oscillate, waffle, waver"
vague,"어렴풋한, 막연한","imprecise, indistinct, uncertain, unclear"
valid,"근거가 확실한, 정당한","authoritative, just, sound"
vaporize,"증발시키다, 희박하게 하다","boil, evaporate"
variable (adj),"가변적인, 변덕스러운","changeable, inconstant, volatile"
variable (n),"변화하기 쉬운 것, 변수",a changeable value or quantity
variegated,"잡색의, 고르지 못한","diversified, diverse"
vehement,"격렬한, 열심인","earnest, fervent, passionate"
venerate,"존경하다, 받들어 모시다","honor, revere"
vent (v),"구멍을 내다, 배출하다","expel, release"
vent (n),"구멍, 배출구, 표출","duct, escape, exit, opening"
verbose,"말이 많은, 장황한","prolix, wordy"
verify,"입증하다, 확인하다","ascertain, authenticate, check, validate"
vertical,"수직의, 곧추선","perpendicular, upright"
vestige,"자취, 흔적","hint, suggestion, trace"
viable,"시행 가능한, 실용적인","feasible, practical"
vigor,"활기, 체력","force, intensity, strength, vitality"
vilify,"비방하다, 헐뜯다","defame, insult, slander"
vindicate,"입증하다, 옹호하다, 지키다","exonerate, justify"
vindictive,"원한을 품은, 보복의","spiteful, unforgiving, vengeful"
virtuoso (adj),"대가의, 거장의","brilliant, consummate, masterly, skilled"
virtuoso (n),"예술의 거장, 대가",expert
virtuous,"덕 있는, 고결한, 정숙한","principled, upright"
virulent,"유독한, 악의가 있는","infectious, infective, noxious, poisonous, bitter, hateful, hostile, malignant, venomous"
vital,"생기가 넘치는, 지극히 중요한, 치명적인","energetic, strong, vigorous, critical, essential, necessary"
vitality,"생명력, 활력","energy, exuberance, force, power, strength, vigor"
vivid,"생생한, 선명한","bright, colorful, intense"
vociferous,"소란한, 시끄러운","boisterous, loud, noisy"
void (adj),"빈, 공허한, 무효의","devoid, empty, unoccupied, vacant, ineffective, inoperative, useless"
void (n),"공허, 진공, 공간","cavity, vacuum"
volatile,"휘발성의, 변덕스러운","fleeting, transient, unstable"
volition,"의지, 결단력","choice, will"
voluble,"수다스러운, 유창한","fluent, glib, loquacious, talkative"
voluminous,"다작의, 방대한, 부피가 큰","ample, big, extensive"
voluntary,"자발적인, 고의의","deliberate, intended"
vulgarian,"속물, 속인","barbarian, churl"
vulnerable,"상처입기 쉬운, 약한","defenseless, susceptible, weak"
wake,"항적, 배 떠나간 자국, 지나간 자국","path, trail"
warm,"따뜻한, 다정한, 더운","enthusiastic, heated, hot"
wary,"경계하는, 주의 깊은","careful, cautious, prudent"
wayward,"제멋대로 하는, 고집 센, 변덕스러운","errant, unpredictable, willful"
weary (adj),"피로한, 지쳐있는, 따분한, 실증 나는","drained, exhausted, fatigued, overworked, tired"
weary (v),"지치게 하다, 싫증나게 하다","annoy, tire"
weight,"무게, 중요성, 비중","heaviness, mass, importance, significance"
well-founded,충분한 근거가 있는,"reasonable, sound, substantiated"
whim,"변덕, 일시적 생각","caprice, fancy, impulse"
whimsical,"마음이 잘 변하는, 별난","fanciful, funny, playful"
widespread,"널리 보급된, 만연된","broad, common, extensive, general, large, popular, sweeping, wide-ranging"
willful,"계획적인, 외고집의","capricious, obstinate, stubborn"
wince,"주춤하다, 움츠리다","cringe, recoil, shrink"
zany,어릿광대 같은,"comical, funny"
zealous,"열심인, 열광적인","ardent, enthusiastic"